high,timestamp,volume,low,close,open
3850.33,2019-01-03 16:00:00,7452.05894356,3732.38,3817.71,3785.64
3887.09,2019-01-04 16:00:00,3656.37531439,3780.0,3791.84,3822.0
4090.0,2019-01-05 16:00:00,5400.71486407,3753.0,4040.71,3795.38
4070.0,2019-01-06 16:00:00,7445.09600426,3964.01,4005.45,4040.71
4112.0,2019-01-07 16:00:00,11819.98676966,3934.73,3994.9,4005.0
4060.0,2019-01-08 16:00:00,7389.6677228,3948.44,4000.18,3994.75
4036.22,2019-01-09 16:00:00,16118.42088248,3503.44,3627.51,4003.09
3704.6,2019-01-10 16:00:00,10571.08164263,3569.85,3632.02,3627.65
3650.35,2019-01-11 16:00:00,3184.35219414,3557.09,3617.13,3631.0
3654.02,2019-01-12 16:00:00,5908.52280454,3476.0,3515.95,3617.75
3714.0,2019-01-13 16:00:00,9925.99072165,3506.0,3664.28,3517.03
3687.02,2019-01-14 16:00:00,8059.817377699999,3534.68,3576.93,3664.28
3669.0,2019-01-15 16:00:00,7675.06606371,3570.48,3605.91,3576.92
3660.0,2019-01-16 16:00:00,7499.52552971,3534.25,3638.01,3609.5
3641.9,2019-01-17 16:00:00,5023.5102908,3577.0,3609.21,3638.01
3774.0,2019-01-18 16:00:00,4080.88346413,3602.6,3681.0,3609.29
3703.27,2019-01-19 16:00:00,5591.01583422,3470.0,3536.72,3680.0
3573.29,2019-01-20 16:00:00,5821.89983137,3485.58,3531.51,3537.42
3615.8,2019-01-21 16:00:00,6877.0636755,3401.36,3576.81,3531.51
3620.23,2019-01-22 16:00:00,6170.84267224,3518.0,3552.32,3574.44
3598.0,2019-01-23 16:00:00,4488.01463801,3524.0,3570.73,3553.2
3578.79,2019-01-24 16:00:00,4961.79512299,3511.0,3560.0,3570.67
3657.89,2019-01-25 16:00:00,2697.88387935,3536.51,3555.56,3560.94
3564.12,2019-01-26 16:00:00,3852.6596409000003,3456.0,3533.23,3555.31
3536.77,2019-01-27 16:00:00,10345.1009104,3357.3,3429.5,3532.23
3438.76,2019-01-28 16:00:00,7284.38686266,3322.19,3390.5,3431.43
3465.05,2019-01-29 16:00:00,5704.02340186,3372.34,3437.35,3391.25
3474.2,2019-01-30 16:00:00,5951.8181698,3392.6,3413.11,3438.0
3460.0,2019-01-31 16:00:00,6659.84752495,3364.53,3434.83,3413.69
3485.0,2019-02-01 16:00:00,3051.95860768,3406.38,3462.82,3434.83
3476.33,2019-02-02 16:00:00,2813.89222442,3384.67,3414.82,3470.5
3439.46,2019-02-03 16:00:00,3244.08497898,3394.85,3410.87,3413.75
3435.0,2019-02-04 16:00:00,4045.62530164,3396.0,3431.39,3409.81
3445.6,2019-02-05 16:00:00,6137.40639817,3328.7,3364.62,3431.81
3383.29,2019-02-06 16:00:00,4293.5558141,3350.0,3359.33,3364.0
3711.04,2019-02-07 16:00:00,14388.64754224,3337.91,3622.94,3358.39
3639.74,2019-02-08 16:00:00,4054.50461695,3589.52,3622.62,3626.12
3662.43,2019-02-09 16:00:00,4155.50568273,3576.16,3650.37,3622.74
3652.56,2019-02-10 16:00:00,7931.40887407,3578.7,3588.7,3651.32
3619.93,2019-02-11 16:00:00,10074.81670532,3548.28,3585.94,3588.99
3629.81,2019-02-12 16:00:00,7992.74321134,3541.0,3574.93,3585.7
3590.74,2019-02-13 16:00:00,5910.24312876,3531.01,3560.46,3575.01
3620.53,2019-02-14 16:00:00,6234.76805726,3544.88,3566.29,3560.45
3609.0,2019-02-15 16:00:00,3442.47630393,3561.96,3579.92,3566.29
3663.34,2019-02-16 16:00:00,5012.46127538,3553.98,3625.6,3580.43
3916.47,2019-02-17 16:00:00,15567.08485429,3614.82,3869.8,3625.6
4000.0,2019-02-18 16:00:00,12525.13651013,3840.08,3888.46,3870.97
3967.52,2019-02-19 16:00:00,9854.35493853,3861.49,3936.53,3889.92
3989.99,2019-02-20 16:00:00,8055.79892817,3866.25,3900.4,3936.8
3957.0,2019-02-21 16:00:00,6593.85993401,3882.59,3939.82,3900.64
4157.87,2019-02-22 16:00:00,7966.31721086,3905.63,4113.53,3939.83
4190.0,2019-02-23 16:00:00,13737.01398845,3714.42,3730.68,4113.56
3861.81,2019-02-24 16:00:00,8835.36224921,3732.6,3820.71,3733.78
3830.0,2019-02-25 16:00:00,6543.16453722,3760.09,3795.06,3817.93
3822.85,2019-02-26 16:00:00,7602.29984472,3658.19,3798.47,3794.42
3897.62,2019-02-27 16:00:00,6747.88027166,3755.0,3791.36,3796.49
3845.3,2019-02-28 16:00:00,4761.41015902,3789.5,3807.05,3791.02
3818.75,2019-03-01 16:00:00,3259.74312485,3760.0,3810.46,3805.0
3822.39,2019-03-02 16:00:00,2508.08649072,3756.0,3789.52,3810.47
3806.9,2019-03-03 16:00:00,7293.71962839,3670.0,3698.66,3789.7
3877.1,2019-03-04 16:00:00,7280.82397551,3690.0,3844.07,3698.65
3895.12,2019-03-05 16:00:00,6402.67507493,3808.8,3851.55,3844.07
3891.04,2019-03-06 16:00:00,7964.50825371,3826.13,3856.64,3851.26
3924.37,2019-03-07 16:00:00,7707.39667049,3760.1,3844.64,3856.78
3950.25,2019-03-08 16:00:00,5125.89830383,3835.66,3916.43,3841.27
3916.43,2019-03-09 16:00:00,3000.60671855,3862.0,3897.92,3916.42
3912.89,2019-03-10 17:00:00,6612.11516125,3812.64,3849.25,3898.14
3877.69,2019-03-11 17:00:00,5794.61473428,3791.07,3859.74,3848.86
3874.68,2019-03-12 17:00:00,4275.54000025,3820.0,3848.48,3861.37
3903.98,2019-03-13 17:00:00,5167.56617609,3775.01,3854.77,3848.1
3912.06,2019-03-14 17:00:00,6411.98332751,3843.09,3901.21,3857.33
4040.0,2019-03-15 17:00:00,6959.47788339,3899.12,3990.0,3899.19
3992.42,2019-03-16 17:00:00,2711.95016796,3927.28,3965.5,3990.0
4016.63,2019-03-17 17:00:00,5420.23037801,3929.83,3969.59,3965.63
4012.63,2019-03-18 17:00:00,5317.45055524,3947.15,3998.13,3969.94
4050.0,2019-03-19 17:00:00,6244.95370182,3962.6,4031.59,3999.5
4055.35,2019-03-20 17:00:00,7561.75989694,3919.63,3974.21,4033.7
4000.81,2019-03-21 17:00:00,3453.36892821,3958.94,3982.07,3974.5
4001.17,2019-03-22 17:00:00,2259.5645261,3957.11,3982.52,3980.4
3980.97,2019-03-23 17:00:00,2204.06560941,3942.04,3969.99,3979.19
3980.22,2019-03-24 17:00:00,6913.36709721,3850.45,3910.51,3970.23
3936.36,2019-03-25 17:00:00,4315.60487708,3879.5,3922.58,3910.0
4037.11,2019-03-26 17:00:00,8151.67504888,3912.19,4025.5,3922.58
4025.56,2019-03-27 17:00:00,3927.54682157,3992.6,4012.23,4025.5
4102.57,2019-03-28 17:00:00,8391.03462414,4005.0,4090.0,4011.0
4130.36,2019-03-29 17:00:00,3923.1364664000002,4040.0,4094.92,4090.0
4101.7,2019-03-30 17:00:00,2402.58820541,4074.29,4096.08,4094.92
4150.0,2019-03-31 17:00:00,7232.98731201,4052.56,4136.32,4092.02
5080.0,2019-04-01 17:00:00,30686.17351442,4130.64,4899.63,4133.93
5345.0,2019-04-02 17:00:00,29321.27268405,4800.5,4978.23,4899.01
5077.35,2019-04-03 17:00:00,15898.11514808,4778.59,4907.94,4972.83
5067.62,2019-04-04 17:00:00,13023.7465161,4883.83,5039.73,4911.14
5240.0,2019-04-05 17:00:00,10049.84478829,4900.0,5041.39,5041.0
5253.49,2019-04-06 17:00:00,10872.51935616,5028.3,5190.85,5041.92
5347.37,2019-04-07 17:00:00,13344.98151487,5127.68,5287.88,5192.92
5288.95,2019-04-08 17:00:00,9410.35350033,5136.01,5192.6,5287.97
5466.06,2019-04-09 17:00:00,10723.93474696,5161.0,5323.47,5184.03
5344.31,2019-04-10 17:00:00,15052.95606333,4966.87,5040.2,5323.47
5122.48,2019-04-11 17:00:00,8057.03847684,4912.0,5076.35,5037.82
5122.01,2019-04-12 17:00:00,4520.43702971,5033.73,5063.63,5075.74
5185.26,2019-04-13 17:00:00,3443.44728316,5012.73,5162.72,5064.0
5192.01,2019-04-14 17:00:00,7423.01375858,4948.57,5027.31,5160.54
5231.96,2019-04-15 17:00:00,7675.40412015,5014.77,5202.43,5027.33
5275.07,2019-04-16 17:00:00,6741.07720986,5170.01,5233.72,5201.47
5325.0,2019-04-17 17:00:00,6375.89568714,5218.23,5281.58,5227.6
5357.96,2019-04-18 17:00:00,5285.60637017,5180.37,5289.91,5283.0
5362.97,2019-04-19 17:00:00,3665.56962108,5253.82,5318.89,5289.91
5346.91,2019-04-20 17:00:00,4631.03916752,5212.8,5295.65,5318.94
5439.12,2019-04-21 17:00:00,7127.11186779,5249.0,5386.8,5295.96
5627.0,2019-04-22 17:00:00,10132.40317154,5363.24,5531.32,5388.22
5623.3,2019-04-23 17:00:00,10521.03763127,5372.0,5440.95,5531.29
5510.0,2019-04-24 17:00:00,9893.93590864,4991.42,5132.55,5440.95
