"filename","sheetname","clusters","max_refs","avg_refs","min_refs","formulas","ratio"
"albert_meyers_000_1_1.pst.0.xls","Balancing",4,24,6.0824742268041237,2,194,48.5000000000000000
"albert_meyers_000_1_1.pst.0.xls","Deals",5,55,6.8796296296296296,1,648,129.6000000000000000
"albert_meyers_000_1_1.pst.0.xls","Economics",14,43,9.0611111111111111,1,360,25.7142857142857143
"albert_meyers_000_1_1.pst.0.xls","Fuel",13,62,13.6714285714285714,0,140,10.7692307692307692
"albert_meyers_000_1_1.pst.0.xls","Preschedule",23,48,4.4666088464874241,0,4612,200.5217391304347826
"albert_meyers_000_1_1.pst.1.xls","Balancing",4,24,6.0824742268041237,2,194,48.5000000000000000
"albert_meyers_000_1_1.pst.1.xls","Deals",5,55,7.1652421652421652,1,702,140.4000000000000000
"albert_meyers_000_1_1.pst.1.xls","Economics",14,43,9.0611111111111111,1,360,25.7142857142857143
"albert_meyers_000_1_1.pst.1.xls","Fuel",13,62,13.6714285714285714,0,140,10.7692307692307692
"albert_meyers_000_1_1.pst.1.xls","Preschedule",24,48,4.4655396618985696,0,4614,192.2500000000000000
"andrea_ring_000_1_1.pst.0.xls","Monthly HH Flows",4,31,15.5229357798165138,4,872,218.0000000000000000
"andrea_ring_000_1_1.pst.12.xls","February 2000",4,18,2.2189349112426036,1,338,84.5000000000000000
"andrea_ring_000_1_1.pst.13.xls","February 2000",4,20,2.2768361581920904,1,354,88.5000000000000000
"andrea_ring_000_1_1.pst.14.xls","February 2000",4,18,2.2098765432098765,1,324,81.0000000000000000
"andrea_ring_000_1_1.pst.15.xls","February 2000",4,6,1.5348837209302326,1,172,43.0000000000000000
"andrea_ring_000_1_1.pst.16.xls","INPUT SHEET",6,32,4.7521008403361345,1,476,79.3333333333333333
"andrea_ring_000_1_1.pst.16.xls","POOL INV VOL",10,33,3.4641638225255973,0,586,58.6000000000000000
"andrea_ring_000_1_1.pst.17.xls","INPUT SHEET",7,32,4.7125000000000000,0,480,68.5714285714285714
"andrea_ring_000_1_1.pst.17.xls","POOL INV VOL",10,33,3.4641638225255973,0,586,58.6000000000000000
"andrea_ring_000_1_1.pst.40.xls","Sheet1",11,7,3.0909090909090909,1,616,56.0000000000000000
